onset	duration	nwb_table	label
5.0	563.0	states	Awake
569.0	32.0	states	Non-REM
602.0	32.0	states	Awake
635.0	42.0	states	Non-REM
678.0	49.0	states	Awake
728.0	36.0	states	Non-REM
765.0	52.0	states	Awake
818.0	70.0	states	Non-REM
889.0	1005.0	states	Awake
1895.0	325.0	states	Non-REM
2221.0	114.0	states	Awake
2336.0	194.0	states	Non-REM
2531.0	215.0	states	Awake
2747.0	9.0	states	Non-REM
2757.0	123.0	states	Awake
2881.0	18.0	states	Non-REM
2900.0	29.0	states	Awake
2930.0	11.0	states	Non-REM
2942.0	59.0	states	Awake
3002.0	136.0	states	Non-REM
3139.0	34.0	states	Awake
3174.0	160.0	states	Non-REM
3335.0	60.0	states	Awake
3396.0	85.0	states	Non-REM
3482.0	177.0	states	Awake
3660.0	192.0	states	Non-REM
3853.0	549.0	states	Awake
4403.0	49.0	states	Non-REM
4453.0	49.0	states	Awake
4503.0	24.0	states	Non-REM
4528.0	17.0	states	Awake
4546.0	121.0	states	Non-REM
4668.0	28.0	states	Awake
4697.0	77.0	states	Non-REM
4775.0	36.0	states	Awake
4812.0	214.0	states	Non-REM
5027.0	46.0	states	Awake
5074.0	174.0	states	Non-REM
5249.0	35.0	states	Awake
5285.0	174.0	states	Non-REM
5460.0	19.0	states	Awake
5480.0	69.0	states	Non-REM
5550.0	16.0	states	Awake
5567.0	91.0	states	REM
5659.0	120.0	states	Awake
5780.0	444.0	states	Non-REM
6225.0	61.0	states	Awake
6287.0	268.0	states	Non-REM
6556.0	30.0	states	Awake
6587.0	427.0	states	Non-REM
7015.0	20.0	states	Awake
7036.0	73.0	states	Non-REM
7110.0	16.0	states	Awake
7127.0	63.0	states	Non-REM
7191.0	47.0	states	REM
7239.0	14.0	states	Awake
7254.0	112.0	states	REM
7367.0	67.0	states	Awake
7435.0	54.0	states	Non-REM
7490.0	38.0	states	Awake
7529.0	138.0	states	Non-REM
7668.0	71.0	states	Awake
7740.0	32.0	states	Non-REM
7773.0	190.0	states	Awake
