onset	duration	nwb_table	label
5.0	2180.0	states	Awake
2186.0	57.0	states	Non-REM
2244.0	363.0	states	Awake
2608.0	33.0	states	Non-REM
2642.0	25.0	states	Awake
2668.0	132.0	states	Non-REM
2801.0	10.0	states	Awake
2812.0	57.0	states	Non-REM
2870.0	7.0	states	Awake
2878.0	76.0	states	Non-REM
2955.0	14.0	states	Awake
2970.0	115.0	states	Non-REM
3086.0	14.0	states	REM
3101.0	37.0	states	Awake
3139.0	126.0	states	Non-REM
3266.0	85.0	states	Awake
3352.0	92.0	states	Non-REM
3445.0	33.0	states	Awake
3479.0	234.0	states	Non-REM
3714.0	16.0	states	REM
3731.0	62.0	states	Awake
3794.0	86.0	states	Non-REM
3881.0	184.0	states	REM
4066.0	54.0	states	Awake
4121.0	220.0	states	Non-REM
4342.0	20.0	states	REM
4363.0	25.0	states	Awake
4389.0	100.0	states	REM
4490.0	38.0	states	Awake
4529.0	10.0	states	Non-REM
4540.0	11.0	states	Awake
4552.0	150.0	states	Non-REM
4703.0	180.0	states	Awake
4884.0	10.0	states	Non-REM
4895.0	19.0	states	Awake
4915.0	20.0	states	Non-REM
4936.0	8.0	states	Awake
4945.0	18.0	states	Non-REM
4964.0	10.0	states	Awake
4975.0	123.0	states	Non-REM
5099.0	7.0	states	Awake
5107.0	297.0	states	Non-REM
5405.0	19.0	states	Awake
5425.0	111.0	states	Non-REM
5537.0	80.0	states	REM
5618.0	41.0	states	Awake
5660.0	32.0	states	Non-REM
5693.0	37.0	states	REM
5731.0	19.0	states	Awake
5751.0	25.0	states	Non-REM
5777.0	93.0	states	Awake
5871.0	290.0	states	Non-REM
6162.0	188.0	states	REM
6351.0	48.0	states	Awake
6400.0	36.0	states	Non-REM
6437.0	22.0	states	Awake
6460.0	187.0	states	Non-REM
6648.0	248.0	states	Awake
6897.0	388.0	states	Non-REM
7286.0	60.0	states	REM
7347.0	31.0	states	Awake
7379.0	336.0	states	Non-REM
7716.0	34.0	states	Awake
7751.0	35.0	states	Non-REM
7787.0	7.0	states	Awake
7795.0	8.0	states	Non-REM
7804.0	15.0	states	Awake
7820.0	12.0	states	Non-REM
7833.0	214.0	states	Awake
8048.0	283.0	states	Non-REM
8332.0	35.0	states	REM
8368.0	21.0	states	Awake
8390.0	61.0	states	Non-REM
8452.0	13.0	states	Awake
8466.0	131.0	states	Non-REM
8598.0	17.0	states	REM
8616.0	205.0	states	Awake
8822.0	16.0	states	Non-REM
8839.0	172.0	states	Awake
9012.0	251.0	states	Non-REM
9264.0	21.0	states	Awake
9286.0	183.0	states	Non-REM
9470.0	85.0	states	Awake
9556.0	274.0	states	Non-REM
9831.0	146.0	states	REM
9978.0	40.0	states	Awake
10019.0	576.0	states	Non-REM
10596.0	115.0	states	REM
10712.0	117.0	states	Awake
10830.0	7.0	states	Non-REM
10838.0	100.0	states	Awake
10939.0	409.0	states	Non-REM
11349.0	47.0	states	REM
11397.0	41.0	states	Awake
11439.0	199.0	states	Non-REM
11639.0	20.0	states	Awake
11660.0	292.0	states	Non-REM
11953.0	39.0	states	REM
11993.0	37.0	states	Awake
12031.0	15.0	states	REM
12047.0	24.0	states	Awake
12072.0	93.0	states	REM
12166.0	11.0	states	Awake
12178.0	67.0	states	REM
12246.0	73.0	states	Awake
12320.0	166.0	states	Non-REM
12487.0	1554.0	states	Awake
14042.0	314.0	states	Non-REM
14357.0	61.0	states	Awake
14419.0	111.0	states	Non-REM
14531.0	16.0	states	Awake
14548.0	162.0	states	Non-REM
14711.0	19.0	states	REM
14731.0	10.0	states	Awake
14742.0	13.0	states	REM
14756.0	23.0	states	Awake
14780.0	13.0	states	Non-REM
14794.0	62.0	states	REM
14857.0	12.0	states	Awake
14870.0	12.0	states	REM
14883.0	12.0	states	Awake
14896.0	34.0	states	REM
14931.0	21.0	states	Awake
14953.0	272.0	states	Non-REM
15226.0	29.0	states	REM
15256.0	38.0	states	Awake
15295.0	264.0	states	Non-REM
15560.0	9.0	states	REM
15570.0	11.0	states	Awake
15582.0	113.0	states	Non-REM
15696.0	91.0	states	REM
15788.0	142.0	states	Awake
15931.0	33.0	states	Non-REM
15965.0	104.0	states	Awake
16070.0	230.0	states	Non-REM
16301.0	23.0	states	REM
16325.0	91.0	states	Awake
16417.0	30.0	states	Non-REM
16448.0	15.0	states	Awake
16464.0	106.0	states	Non-REM
16571.0	19.0	states	Awake
16591.0	10.0	states	Non-REM
16602.0	13.0	states	Awake
16616.0	98.0	states	Non-REM
16715.0	28.0	states	REM
16744.0	19.0	states	Awake
16764.0	121.0	states	Non-REM
16886.0	32.0	states	REM
16919.0	20.0	states	Awake
16940.0	35.0	states	Non-REM
16976.0	12.0	states	REM
16989.0	25.0	states	Awake
17015.0	16.0	states	Non-REM
17032.0	29.0	states	Awake
17062.0	26.0	states	Non-REM
17089.0	180.0	states	Awake
17270.0	177.0	states	Non-REM
17448.0	19.0	states	REM
17468.0	18.0	states	Awake
17487.0	245.0	states	Non-REM
17733.0	1908.0	states	Awake
