onset	duration	nwb_table	label
5.0	1424.0	states	Awake
1430.0	17.0	states	Non-REM
1448.0	52.0	states	Awake
1501.0	13.0	states	Non-REM
1515.0	24.0	states	Awake
1540.0	19.0	states	Non-REM
1560.0	46.0	states	Awake
1607.0	97.0	states	Non-REM
1705.0	302.0	states	Awake
2008.0	219.0	states	Non-REM
2228.0	57.0	states	Awake
2286.0	18.0	states	Non-REM
2305.0	24.0	states	Awake
2330.0	110.0	states	Non-REM
2441.0	96.0	states	Awake
2538.0	325.0	states	Non-REM
2864.0	19.0	states	Awake
2884.0	194.0	states	Non-REM
3079.0	15.0	states	Awake
3095.0	250.0	states	Non-REM
3346.0	26.0	states	Awake
3373.0	81.0	states	Non-REM
3455.0	39.0	states	Awake
3495.0	76.0	states	Non-REM
3572.0	24.0	states	Awake
3597.0	236.0	states	Non-REM
3834.0	63.0	states	Awake
3898.0	12.0	states	REM
3911.0	342.0	states	Non-REM
4254.0	15.0	states	Awake
4270.0	75.0	states	Non-REM
4346.0	24.0	states	Awake
4371.0	71.0	states	Non-REM
4443.0	565.0	states	Awake
